"RG","TG"
"PIK3R1_CHUK","PIK3R1","CHUK"
"PIK3R2_CHUK","PIK3R2","CHUK"
"PIK3R3_CHUK","PIK3R3","CHUK"
"P3R3URF.PIK3R3_CHUK","P3R3URF.PIK3R3","CHUK"
"AKT2_CHUK","AKT2","CHUK"
"AKT3_CHUK","AKT3","CHUK"
"IKBKB_CHUK","IKBKB","CHUK"
"IKBKG_CHUK","IKBKG","CHUK"
"NFKB1_CHUK","NFKB1","CHUK"
"EIF4EBP1_CHUK","EIF4EBP1","CHUK"
"RPS6KB1_CHUK","RPS6KB1","CHUK"
"RPS6KB2_CHUK","RPS6KB2","CHUK"
"GRB2_CHUK","GRB2","CHUK"
"SOS1_CHUK","SOS1","CHUK"
"SOS2_CHUK","SOS2","CHUK"
"ARAF_CHUK","ARAF","CHUK"
"BRAF_CHUK","BRAF","CHUK"
"RAF1_CHUK","RAF1","CHUK"
"MAP2K1_CHUK","MAP2K1","CHUK"
"MAP2K2_CHUK","MAP2K2","CHUK"
"MAPK1_CHUK","MAPK1","CHUK"
"MAPK3_CHUK","MAPK3","CHUK"
"STAT3_CHUK","STAT3","CHUK"
"PIM1_CHUK","PIM1","CHUK"
"PIM2_CHUK","PIM2","CHUK"
"CSF1R_CHUK","CSF1R","CHUK"
"MPO_CHUK","MPO","CHUK"
"IL3_CHUK","IL3","CHUK"
"RUNX1T1_CHUK","RUNX1T1","CHUK"
"PML_CHUK","PML","CHUK"
"RARA_CHUK","RARA","CHUK"
"PER2_CHUK","PER2","CHUK"
"SPI1_CHUK","SPI1","CHUK"
"CD14_CHUK","CD14","CHUK"
"ITGAM_CHUK","ITGAM","CHUK"
"FCGR1A_CHUK","FCGR1A","CHUK"
"CCNA2_CHUK","CCNA2","CHUK"
"MYC_CHUK","MYC","CHUK"
"DUSP6_CHUK","DUSP6","CHUK"
"JUP_CHUK","JUP","CHUK"
"TCF7_CHUK","TCF7","CHUK"
"TCF7L1_CHUK","TCF7L1","CHUK"
"TCF7L2_CHUK","TCF7L2","CHUK"
"CCND1_CHUK","CCND1","CHUK"
"PPARD_CHUK","PPARD","CHUK"
"FLT3_IKBKB","FLT3","IKBKB"
"PIK3CA_IKBKB","PIK3CA","IKBKB"
"PIK3CD_IKBKB","PIK3CD","IKBKB"
"PIK3CB_IKBKB","PIK3CB","IKBKB"
"PIK3R1_IKBKB","PIK3R1","IKBKB"
"PIK3R2_IKBKB","PIK3R2","IKBKB"
"PIK3R3_IKBKB","PIK3R3","IKBKB"
"AKT1_IKBKB","AKT1","IKBKB"
"AKT2_IKBKB","AKT2","IKBKB"
"AKT3_IKBKB","AKT3","IKBKB"
"CHUK_IKBKB","CHUK","IKBKB"
"IKBKG_IKBKB","IKBKG","IKBKB"
"NFKB1_IKBKB","NFKB1","IKBKB"
"RELA_IKBKB","RELA","IKBKB"
"BAD_IKBKB","BAD","IKBKB"
"MTOR_IKBKB","MTOR","IKBKB"
"EIF4EBP1_IKBKB","EIF4EBP1","IKBKB"
"RPS6KB1_IKBKB","RPS6KB1","IKBKB"
"RPS6KB2_IKBKB","RPS6KB2","IKBKB"
"GRB2_IKBKB","GRB2","IKBKB"
"SOS1_IKBKB","SOS1","IKBKB"
"HRAS_IKBKB","HRAS","IKBKB"
"BRAF_IKBKB","BRAF","IKBKB"
"RAF1_IKBKB","RAF1","IKBKB"
"MAP2K1_IKBKB","MAP2K1","IKBKB"
"MAPK1_IKBKB","MAPK1","IKBKB"
"STAT3_IKBKB","STAT3","IKBKB"
"STAT5A_IKBKB","STAT5A","IKBKB"
"STAT5B_IKBKB","STAT5B","IKBKB"
"PIM1_IKBKB","PIM1","IKBKB"
"PIM2_IKBKB","PIM2","IKBKB"
"CSF1R_IKBKB","CSF1R","IKBKB"
"MPO_IKBKB","MPO","IKBKB"
"IL3_IKBKB","IL3","IKBKB"
"RUNX1T1_IKBKB","RUNX1T1","IKBKB"
"PML_IKBKB","PML","IKBKB"
"RARA_IKBKB","RARA","IKBKB"
"ZBTB16_IKBKB","ZBTB16","IKBKB"
"PER2_IKBKB","PER2","IKBKB"
"SPI1_IKBKB","SPI1","IKBKB"
"CD14_IKBKB","CD14","IKBKB"
"ITGAM_IKBKB","ITGAM","IKBKB"
"FCGR1A_IKBKB","FCGR1A","IKBKB"
"CCNA2_IKBKB","CCNA2","IKBKB"
"CCNA1_IKBKB","CCNA1","IKBKB"
"MYC_IKBKB","MYC","IKBKB"
"DUSP6_IKBKB","DUSP6","IKBKB"
"JUP_IKBKB","JUP","IKBKB"
"TCF7_IKBKB","TCF7","IKBKB"
"TCF7L1_IKBKB","TCF7L1","IKBKB"
"TCF7L2_IKBKB","TCF7L2","IKBKB"
"LEF1_IKBKB","LEF1","IKBKB"
"CCND1_IKBKB","CCND1","IKBKB"
"PPARD_IKBKB","PPARD","IKBKB"
"FLT3_IKBKG","FLT3","IKBKG"
"PIK3CB_IKBKG","PIK3CB","IKBKG"
"PIK3R2_IKBKG","PIK3R2","IKBKG"
"PIK3R3_IKBKG","PIK3R3","IKBKG"
"P3R3URF.PIK3R3_IKBKG","P3R3URF.PIK3R3","IKBKG"
"AKT1_IKBKG","AKT1","IKBKG"
"AKT3_IKBKG","AKT3","IKBKG"
"CHUK_IKBKG","CHUK","IKBKG"
"IKBKB_IKBKG","IKBKB","IKBKG"
"NFKB1_IKBKG","NFKB1","IKBKG"
"RELA_IKBKG","RELA","IKBKG"
"BAD_IKBKG","BAD","IKBKG"
"MTOR_IKBKG","MTOR","IKBKG"
"EIF4EBP1_IKBKG","EIF4EBP1","IKBKG"
"RPS6KB1_IKBKG","RPS6KB1","IKBKG"
"GRB2_IKBKG","GRB2","IKBKG"
"SOS1_IKBKG","SOS1","IKBKG"
"SOS2_IKBKG","SOS2","IKBKG"
"ARAF_IKBKG","ARAF","IKBKG"
"RAF1_IKBKG","RAF1","IKBKG"
"MAP2K1_IKBKG","MAP2K1","IKBKG"
"MAP2K2_IKBKG","MAP2K2","IKBKG"
"MAPK1_IKBKG","MAPK1","IKBKG"
"STAT3_IKBKG","STAT3","IKBKG"
"STAT5A_IKBKG","STAT5A","IKBKG"
"STAT5B_IKBKG","STAT5B","IKBKG"
"PIM1_IKBKG","PIM1","IKBKG"
"PIM2_IKBKG","PIM2","IKBKG"
"CSF1R_IKBKG","CSF1R","IKBKG"
"CSF2_IKBKG","CSF2","IKBKG"
"RUNX1T1_IKBKG","RUNX1T1","IKBKG"
"PML_IKBKG","PML","IKBKG"
"RARA_IKBKG","RARA","IKBKG"
"ZBTB16_IKBKG","ZBTB16","IKBKG"
"PER2_IKBKG","PER2","IKBKG"
"CD14_IKBKG","CD14","IKBKG"
"ITGAM_IKBKG","ITGAM","IKBKG"
"CEBPE_IKBKG","CEBPE","IKBKG"
"BCL2A1_IKBKG","BCL2A1","IKBKG"
"MYC_IKBKG","MYC","IKBKG"
"JUP_IKBKG","JUP","IKBKG"
"TCF7L1_IKBKG","TCF7L1","IKBKG"
"TCF7L2_IKBKG","TCF7L2","IKBKG"
"CCND1_IKBKG","CCND1","IKBKG"
"PPARD_IKBKG","PPARD","IKBKG"
"KIT_NFKB1","KIT","NFKB1"
"FLT3_NFKB1","FLT3","NFKB1"
"PIK3CA_NFKB1","PIK3CA","NFKB1"
"PIK3CD_NFKB1","PIK3CD","NFKB1"
"PIK3R1_NFKB1","PIK3R1","NFKB1"
"PIK3R2_NFKB1","PIK3R2","NFKB1"
"PIK3R3_NFKB1","PIK3R3","NFKB1"
"P3R3URF.PIK3R3_NFKB1","P3R3URF.PIK3R3","NFKB1"
"AKT1_NFKB1","AKT1","NFKB1"
"AKT3_NFKB1","AKT3","NFKB1"
"CHUK_NFKB1","CHUK","NFKB1"
"IKBKB_NFKB1","IKBKB","NFKB1"
"IKBKG_NFKB1","IKBKG","NFKB1"
"RELA_NFKB1","RELA","NFKB1"
"BAD_NFKB1","BAD","NFKB1"
"EIF4EBP1_NFKB1","EIF4EBP1","NFKB1"
"RPS6KB1_NFKB1","RPS6KB1","NFKB1"
"RPS6KB2_NFKB1","RPS6KB2","NFKB1"
"SOS1_NFKB1","SOS1","NFKB1"
"SOS2_NFKB1","SOS2","NFKB1"
"BRAF_NFKB1","BRAF","NFKB1"
"RAF1_NFKB1","RAF1","NFKB1"
"MAP2K1_NFKB1","MAP2K1","NFKB1"
"MAPK1_NFKB1","MAPK1","NFKB1"
"STAT3_NFKB1","STAT3","NFKB1"
"STAT5A_NFKB1","STAT5A","NFKB1"
"STAT5B_NFKB1","STAT5B","NFKB1"
"PIM2_NFKB1","PIM2","NFKB1"
"CSF2_NFKB1","CSF2","NFKB1"
"IL3_NFKB1","IL3","NFKB1"
"RUNX1T1_NFKB1","RUNX1T1","NFKB1"
"PML_NFKB1","PML","NFKB1"
"RARA_NFKB1","RARA","NFKB1"
"ZBTB16_NFKB1","ZBTB16","NFKB1"
"PER2_NFKB1","PER2","NFKB1"
"SPI1_NFKB1","SPI1","NFKB1"
"ITGAM_NFKB1","ITGAM","NFKB1"
"FCGR1A_NFKB1","FCGR1A","NFKB1"
"BCL2A1_NFKB1","BCL2A1","NFKB1"
"CCNA2_NFKB1","CCNA2","NFKB1"
"CCNA1_NFKB1","CCNA1","NFKB1"
"MYC_NFKB1","MYC","NFKB1"
"DUSP6_NFKB1","DUSP6","NFKB1"
"JUP_NFKB1","JUP","NFKB1"
"TCF7_NFKB1","TCF7","NFKB1"
"TCF7L1_NFKB1","TCF7L1","NFKB1"
"TCF7L2_NFKB1","TCF7L2","NFKB1"
"LEF1_NFKB1","LEF1","NFKB1"
"PPARD_NFKB1","PPARD","NFKB1"
"FLT3_RELA","FLT3","RELA"
"PIK3CA_RELA","PIK3CA","RELA"
"PIK3CD_RELA","PIK3CD","RELA"
"PIK3CB_RELA","PIK3CB","RELA"
"PIK3R3_RELA","PIK3R3","RELA"
"AKT1_RELA","AKT1","RELA"
"AKT2_RELA","AKT2","RELA"
"AKT3_RELA","AKT3","RELA"
"IKBKB_RELA","IKBKB","RELA"
"IKBKG_RELA","IKBKG","RELA"
"NFKB1_RELA","NFKB1","RELA"
"BAD_RELA","BAD","RELA"
"MTOR_RELA","MTOR","RELA"
"RPS6KB1_RELA","RPS6KB1","RELA"
"RPS6KB2_RELA","RPS6KB2","RELA"
"GRB2_RELA","GRB2","RELA"
"SOS1_RELA","SOS1","RELA"
"SOS2_RELA","SOS2","RELA"
"ARAF_RELA","ARAF","RELA"
"BRAF_RELA","BRAF","RELA"
"RAF1_RELA","RAF1","RELA"
"MAP2K1_RELA","MAP2K1","RELA"
"MAP2K2_RELA","MAP2K2","RELA"
"MAPK1_RELA","MAPK1","RELA"
"MAPK3_RELA","MAPK3","RELA"
"STAT3_RELA","STAT3","RELA"
"PIM1_RELA","PIM1","RELA"
"CSF1R_RELA","CSF1R","RELA"
"MPO_RELA","MPO","RELA"
"CSF2_RELA","CSF2","RELA"
"IL3_RELA","IL3","RELA"
"RUNX1T1_RELA","RUNX1T1","RELA"
"PML_RELA","PML","RELA"
"PER2_RELA","PER2","RELA"
"CD14_RELA","CD14","RELA"
"FCGR1A_RELA","FCGR1A","RELA"
"CEBPE_RELA","CEBPE","RELA"
"BCL2A1_RELA","BCL2A1","RELA"
"CCNA2_RELA","CCNA2","RELA"
"MYC_RELA","MYC","RELA"
"DUSP6_RELA","DUSP6","RELA"
"TCF7L2_RELA","TCF7L2","RELA"
"CCND1_RELA","CCND1","RELA"
"PPARD_RELA","PPARD","RELA"
"PIK3CA_BAD","PIK3CA","BAD"
"PIK3CD_BAD","PIK3CD","BAD"
"PIK3CB_BAD","PIK3CB","BAD"
"PIK3R1_BAD","PIK3R1","BAD"
"PIK3R2_BAD","PIK3R2","BAD"
"P3R3URF.PIK3R3_BAD","P3R3URF.PIK3R3","BAD"
"AKT2_BAD","AKT2","BAD"
"AKT3_BAD","AKT3","BAD"
"IKBKG_BAD","IKBKG","BAD"
"NFKB1_BAD","NFKB1","BAD"
"RELA_BAD","RELA","BAD"
"MTOR_BAD","MTOR","BAD"
"EIF4EBP1_BAD","EIF4EBP1","BAD"
"RPS6KB2_BAD","RPS6KB2","BAD"
"GRB2_BAD","GRB2","BAD"
"SOS1_BAD","SOS1","BAD"
"HRAS_BAD","HRAS","BAD"
"ARAF_BAD","ARAF","BAD"
"BRAF_BAD","BRAF","BAD"
"MAP2K1_BAD","MAP2K1","BAD"
"MAP2K2_BAD","MAP2K2","BAD"
"MAPK3_BAD","MAPK3","BAD"
"STAT3_BAD","STAT3","BAD"
"STAT5A_BAD","STAT5A","BAD"
"STAT5B_BAD","STAT5B","BAD"
"PIM1_BAD","PIM1","BAD"
"PIM2_BAD","PIM2","BAD"
"CSF1R_BAD","CSF1R","BAD"
"IL3_BAD","IL3","BAD"
"PML_BAD","PML","BAD"
"RARA_BAD","RARA","BAD"
"PER2_BAD","PER2","BAD"
"SPI1_BAD","SPI1","BAD"
"ITGAM_BAD","ITGAM","BAD"
"FCGR1A_BAD","FCGR1A","BAD"
"BCL2A1_BAD","BCL2A1","BAD"
"CCNA2_BAD","CCNA2","BAD"
"CCNA1_BAD","CCNA1","BAD"
"MYC_BAD","MYC","BAD"
"DUSP6_BAD","DUSP6","BAD"
"JUP_BAD","JUP","BAD"
"TCF7_BAD","TCF7","BAD"
"TCF7L1_BAD","TCF7L1","BAD"
"TCF7L2_BAD","TCF7L2","BAD"
"LEF1_BAD","LEF1","BAD"
"CCND1_BAD","CCND1","BAD"
"KIT_MTOR","KIT","MTOR"
"FLT3_MTOR","FLT3","MTOR"
"PIK3CA_MTOR","PIK3CA","MTOR"
"PIK3CD_MTOR","PIK3CD","MTOR"
"PIK3CB_MTOR","PIK3CB","MTOR"
"PIK3R2_MTOR","PIK3R2","MTOR"
"PIK3R3_MTOR","PIK3R3","MTOR"
"P3R3URF.PIK3R3_MTOR","P3R3URF.PIK3R3","MTOR"
"AKT1_MTOR","AKT1","MTOR"
"AKT2_MTOR","AKT2","MTOR"
"AKT3_MTOR","AKT3","MTOR"
"IKBKB_MTOR","IKBKB","MTOR"
"IKBKG_MTOR","IKBKG","MTOR"
"NFKB1_MTOR","NFKB1","MTOR"
"RELA_MTOR","RELA","MTOR"
"BAD_MTOR","BAD","MTOR"
"EIF4EBP1_MTOR","EIF4EBP1","MTOR"
"RPS6KB1_MTOR","RPS6KB1","MTOR"
"RPS6KB2_MTOR","RPS6KB2","MTOR"
"GRB2_MTOR","GRB2","MTOR"
"SOS1_MTOR","SOS1","MTOR"
"SOS2_MTOR","SOS2","MTOR"
"HRAS_MTOR","HRAS","MTOR"
"ARAF_MTOR","ARAF","MTOR"
"BRAF_MTOR","BRAF","MTOR"
"RAF1_MTOR","RAF1","MTOR"
"MAP2K1_MTOR","MAP2K1","MTOR"
"MAP2K2_MTOR","MAP2K2","MTOR"
"MAPK1_MTOR","MAPK1","MTOR"
"MAPK3_MTOR","MAPK3","MTOR"
"STAT3_MTOR","STAT3","MTOR"
"STAT5A_MTOR","STAT5A","MTOR"
"STAT5B_MTOR","STAT5B","MTOR"
"PIM1_MTOR","PIM1","MTOR"
"PIM2_MTOR","PIM2","MTOR"
"CSF1R_MTOR","CSF1R","MTOR"
"MPO_MTOR","MPO","MTOR"
"CSF2_MTOR","CSF2","MTOR"
"IL3_MTOR","IL3","MTOR"
"RUNX1T1_MTOR","RUNX1T1","MTOR"
"PML_MTOR","PML","MTOR"
"RARA_MTOR","RARA","MTOR"
"ZBTB16_MTOR","ZBTB16","MTOR"
"SPI1_MTOR","SPI1","MTOR"
"CD14_MTOR","CD14","MTOR"
"ITGAM_MTOR","ITGAM","MTOR"
"FCGR1A_MTOR","FCGR1A","MTOR"
"CEBPE_MTOR","CEBPE","MTOR"
"BCL2A1_MTOR","BCL2A1","MTOR"
"CCNA2_MTOR","CCNA2","MTOR"
"CCNA1_MTOR","CCNA1","MTOR"
"DUSP6_MTOR","DUSP6","MTOR"
"JUP_MTOR","JUP","MTOR"
"TCF7_MTOR","TCF7","MTOR"
"TCF7L1_MTOR","TCF7L1","MTOR"
"TCF7L2_MTOR","TCF7L2","MTOR"
"LEF1_MTOR","LEF1","MTOR"
"CCND1_MTOR","CCND1","MTOR"
"KIT_EIF4EBP1","KIT","EIF4EBP1"
"FLT3_EIF4EBP1","FLT3","EIF4EBP1"
"PIK3CA_EIF4EBP1","PIK3CA","EIF4EBP1"
"PIK3CD_EIF4EBP1","PIK3CD","EIF4EBP1"
"PIK3CB_EIF4EBP1","PIK3CB","EIF4EBP1"
"PIK3R1_EIF4EBP1","PIK3R1","EIF4EBP1"
"PIK3R2_EIF4EBP1","PIK3R2","EIF4EBP1"
"P3R3URF.PIK3R3_EIF4EBP1","P3R3URF.PIK3R3","EIF4EBP1"
"AKT1_EIF4EBP1","AKT1","EIF4EBP1"
"AKT2_EIF4EBP1","AKT2","EIF4EBP1"
"AKT3_EIF4EBP1","AKT3","EIF4EBP1"
"CHUK_EIF4EBP1","CHUK","EIF4EBP1"
"IKBKB_EIF4EBP1","IKBKB","EIF4EBP1"
"IKBKG_EIF4EBP1","IKBKG","EIF4EBP1"
"NFKB1_EIF4EBP1","NFKB1","EIF4EBP1"
"MTOR_EIF4EBP1","MTOR","EIF4EBP1"
"RPS6KB1_EIF4EBP1","RPS6KB1","EIF4EBP1"
"RPS6KB2_EIF4EBP1","RPS6KB2","EIF4EBP1"
"GRB2_EIF4EBP1","GRB2","EIF4EBP1"
"SOS1_EIF4EBP1","SOS1","EIF4EBP1"
"HRAS_EIF4EBP1","HRAS","EIF4EBP1"
"BRAF_EIF4EBP1","BRAF","EIF4EBP1"
"RAF1_EIF4EBP1","RAF1","EIF4EBP1"
"MAP2K1_EIF4EBP1","MAP2K1","EIF4EBP1"
"MAP2K2_EIF4EBP1","MAP2K2","EIF4EBP1"
"MAPK1_EIF4EBP1","MAPK1","EIF4EBP1"
"MAPK3_EIF4EBP1","MAPK3","EIF4EBP1"
"STAT3_EIF4EBP1","STAT3","EIF4EBP1"
"STAT5A_EIF4EBP1","STAT5A","EIF4EBP1"
"PIM1_EIF4EBP1","PIM1","EIF4EBP1"
"PIM2_EIF4EBP1","PIM2","EIF4EBP1"
"CSF1R_EIF4EBP1","CSF1R","EIF4EBP1"
"CSF2_EIF4EBP1","CSF2","EIF4EBP1"
"IL3_EIF4EBP1","IL3","EIF4EBP1"
"RUNX1T1_EIF4EBP1","RUNX1T1","EIF4EBP1"
"PML_EIF4EBP1","PML","EIF4EBP1"
"RARA_EIF4EBP1","RARA","EIF4EBP1"
"ZBTB16_EIF4EBP1","ZBTB16","EIF4EBP1"
"PER2_EIF4EBP1","PER2","EIF4EBP1"
"CD14_EIF4EBP1","CD14","EIF4EBP1"
"ITGAM_EIF4EBP1","ITGAM","EIF4EBP1"
"BCL2A1_EIF4EBP1","BCL2A1","EIF4EBP1"
"CCNA1_EIF4EBP1","CCNA1","EIF4EBP1"
"MYC_EIF4EBP1","MYC","EIF4EBP1"
"DUSP6_EIF4EBP1","DUSP6","EIF4EBP1"
"JUP_EIF4EBP1","JUP","EIF4EBP1"
"TCF7_EIF4EBP1","TCF7","EIF4EBP1"
"TCF7L1_EIF4EBP1","TCF7L1","EIF4EBP1"
"TCF7L2_EIF4EBP1","TCF7L2","EIF4EBP1"
"LEF1_EIF4EBP1","LEF1","EIF4EBP1"
"CCND1_EIF4EBP1","CCND1","EIF4EBP1"
"KIT_RPS6KB1","KIT","RPS6KB1"
"FLT3_RPS6KB1","FLT3","RPS6KB1"
"PIK3CA_RPS6KB1","PIK3CA","RPS6KB1"
"PIK3CD_RPS6KB1","PIK3CD","RPS6KB1"
"PIK3CB_RPS6KB1","PIK3CB","RPS6KB1"
"PIK3R1_RPS6KB1","PIK3R1","RPS6KB1"
"PIK3R2_RPS6KB1","PIK3R2","RPS6KB1"
"PIK3R3_RPS6KB1","PIK3R3","RPS6KB1"
"P3R3URF.PIK3R3_RPS6KB1","P3R3URF.PIK3R3","RPS6KB1"
"AKT2_RPS6KB1","AKT2","RPS6KB1"
"CHUK_RPS6KB1","CHUK","RPS6KB1"
"IKBKB_RPS6KB1","IKBKB","RPS6KB1"
"IKBKG_RPS6KB1","IKBKG","RPS6KB1"
"NFKB1_RPS6KB1","NFKB1","RPS6KB1"
"RELA_RPS6KB1","RELA","RPS6KB1"
"BAD_RPS6KB1","BAD","RPS6KB1"
"MTOR_RPS6KB1","MTOR","RPS6KB1"
"EIF4EBP1_RPS6KB1","EIF4EBP1","RPS6KB1"
"GRB2_RPS6KB1","GRB2","RPS6KB1"
"SOS1_RPS6KB1","SOS1","RPS6KB1"
"HRAS_RPS6KB1","HRAS","RPS6KB1"
"ARAF_RPS6KB1","ARAF","RPS6KB1"
"RAF1_RPS6KB1","RAF1","RPS6KB1"
"MAP2K1_RPS6KB1","MAP2K1","RPS6KB1"
"MAP2K2_RPS6KB1","MAP2K2","RPS6KB1"
"MAPK1_RPS6KB1","MAPK1","RPS6KB1"
"MAPK3_RPS6KB1","MAPK3","RPS6KB1"
"STAT3_RPS6KB1","STAT3","RPS6KB1"
"STAT5A_RPS6KB1","STAT5A","RPS6KB1"
"STAT5B_RPS6KB1","STAT5B","RPS6KB1"
"MPO_RPS6KB1","MPO","RPS6KB1"
"CSF2_RPS6KB1","CSF2","RPS6KB1"
"IL3_RPS6KB1","IL3","RPS6KB1"
"PML_RPS6KB1","PML","RPS6KB1"
"RARA_RPS6KB1","RARA","RPS6KB1"
"ZBTB16_RPS6KB1","ZBTB16","RPS6KB1"
"PER2_RPS6KB1","PER2","RPS6KB1"
"SPI1_RPS6KB1","SPI1","RPS6KB1"
"ITGAM_RPS6KB1","ITGAM","RPS6KB1"
"FCGR1A_RPS6KB1","FCGR1A","RPS6KB1"
"CEBPE_RPS6KB1","CEBPE","RPS6KB1"
"BCL2A1_RPS6KB1","BCL2A1","RPS6KB1"
"CCNA2_RPS6KB1","CCNA2","RPS6KB1"
"CCNA1_RPS6KB1","CCNA1","RPS6KB1"
"MYC_RPS6KB1","MYC","RPS6KB1"
"TCF7_RPS6KB1","TCF7","RPS6KB1"
"TCF7L1_RPS6KB1","TCF7L1","RPS6KB1"
"TCF7L2_RPS6KB1","TCF7L2","RPS6KB1"
"LEF1_RPS6KB1","LEF1","RPS6KB1"
"CCND1_RPS6KB1","CCND1","RPS6KB1"
"PPARD_RPS6KB1","PPARD","RPS6KB1"
"KIT_RPS6KB2","KIT","RPS6KB2"
"PIK3CA_RPS6KB2","PIK3CA","RPS6KB2"
"PIK3CD_RPS6KB2","PIK3CD","RPS6KB2"
"PIK3CB_RPS6KB2","PIK3CB","RPS6KB2"
"PIK3R2_RPS6KB2","PIK3R2","RPS6KB2"
"P3R3URF.PIK3R3_RPS6KB2","P3R3URF.PIK3R3","RPS6KB2"
"AKT1_RPS6KB2","AKT1","RPS6KB2"
"AKT2_RPS6KB2","AKT2","RPS6KB2"
"AKT3_RPS6KB2","AKT3","RPS6KB2"
"CHUK_RPS6KB2","CHUK","RPS6KB2"
"IKBKB_RPS6KB2","IKBKB","RPS6KB2"
"NFKB1_RPS6KB2","NFKB1","RPS6KB2"
"RELA_RPS6KB2","RELA","RPS6KB2"
"BAD_RPS6KB2","BAD","RPS6KB2"
"MTOR_RPS6KB2","MTOR","RPS6KB2"
"EIF4EBP1_RPS6KB2","EIF4EBP1","RPS6KB2"
"SOS2_RPS6KB2","SOS2","RPS6KB2"
"HRAS_RPS6KB2","HRAS","RPS6KB2"
"ARAF_RPS6KB2","ARAF","RPS6KB2"
"BRAF_RPS6KB2","BRAF","RPS6KB2"
"RAF1_RPS6KB2","RAF1","RPS6KB2"
"MAP2K1_RPS6KB2","MAP2K1","RPS6KB2"
"MAP2K2_RPS6KB2","MAP2K2","RPS6KB2"
"MAPK1_RPS6KB2","MAPK1","RPS6KB2"
"MAPK3_RPS6KB2","MAPK3","RPS6KB2"
"STAT3_RPS6KB2","STAT3","RPS6KB2"
"STAT5A_RPS6KB2","STAT5A","RPS6KB2"
"PIM2_RPS6KB2","PIM2","RPS6KB2"
"CSF2_RPS6KB2","CSF2","RPS6KB2"
"RUNX1T1_RPS6KB2","RUNX1T1","RPS6KB2"
"PML_RPS6KB2","PML","RPS6KB2"
"ZBTB16_RPS6KB2","ZBTB16","RPS6KB2"
"PER2_RPS6KB2","PER2","RPS6KB2"
"CD14_RPS6KB2","CD14","RPS6KB2"
"ITGAM_RPS6KB2","ITGAM","RPS6KB2"
"FCGR1A_RPS6KB2","FCGR1A","RPS6KB2"
"CEBPE_RPS6KB2","CEBPE","RPS6KB2"
"CCNA2_RPS6KB2","CCNA2","RPS6KB2"
"CCNA1_RPS6KB2","CCNA1","RPS6KB2"
"MYC_RPS6KB2","MYC","RPS6KB2"
"DUSP6_RPS6KB2","DUSP6","RPS6KB2"
"JUP_RPS6KB2","JUP","RPS6KB2"
"TCF7_RPS6KB2","TCF7","RPS6KB2"
"TCF7L1_RPS6KB2","TCF7L1","RPS6KB2"
"TCF7L2_RPS6KB2","TCF7L2","RPS6KB2"
"CCND1_RPS6KB2","CCND1","RPS6KB2"
"KIT_GRB2","KIT","GRB2"
"FLT3_GRB2","FLT3","GRB2"
"PIK3CA_GRB2","PIK3CA","GRB2"
"PIK3CD_GRB2","PIK3CD","GRB2"
"PIK3CB_GRB2","PIK3CB","GRB2"
"PIK3R1_GRB2","PIK3R1","GRB2"
"PIK3R3_GRB2","PIK3R3","GRB2"
"P3R3URF.PIK3R3_GRB2","P3R3URF.PIK3R3","GRB2"
"AKT1_GRB2","AKT1","GRB2"
"AKT2_GRB2","AKT2","GRB2"
"CHUK_GRB2","CHUK","GRB2"
"IKBKB_GRB2","IKBKB","GRB2"
"IKBKG_GRB2","IKBKG","GRB2"
"NFKB1_GRB2","NFKB1","GRB2"
"RELA_GRB2","RELA","GRB2"
"BAD_GRB2","BAD","GRB2"
"MTOR_GRB2","MTOR","GRB2"
"EIF4EBP1_GRB2","EIF4EBP1","GRB2"
"RPS6KB1_GRB2","RPS6KB1","GRB2"
"RPS6KB2_GRB2","RPS6KB2","GRB2"
"SOS2_GRB2","SOS2","GRB2"
"HRAS_GRB2","HRAS","GRB2"
"BRAF_GRB2","BRAF","GRB2"
"RAF1_GRB2","RAF1","GRB2"
"MAP2K1_GRB2","MAP2K1","GRB2"
"MAP2K2_GRB2","MAP2K2","GRB2"
"MAPK1_GRB2","MAPK1","GRB2"
"MAPK3_GRB2","MAPK3","GRB2"
"STAT3_GRB2","STAT3","GRB2"
"PIM2_GRB2","PIM2","GRB2"
"MPO_GRB2","MPO","GRB2"
"CSF2_GRB2","CSF2","GRB2"
"IL3_GRB2","IL3","GRB2"
"RUNX1T1_GRB2","RUNX1T1","GRB2"
"PML_GRB2","PML","GRB2"
"RARA_GRB2","RARA","GRB2"
"ZBTB16_GRB2","ZBTB16","GRB2"
"PER2_GRB2","PER2","GRB2"
"SPI1_GRB2","SPI1","GRB2"
"CD14_GRB2","CD14","GRB2"
"ITGAM_GRB2","ITGAM","GRB2"
"FCGR1A_GRB2","FCGR1A","GRB2"
"CEBPE_GRB2","CEBPE","GRB2"
"BCL2A1_GRB2","BCL2A1","GRB2"
"CCNA2_GRB2","CCNA2","GRB2"
"CCNA1_GRB2","CCNA1","GRB2"
"MYC_GRB2","MYC","GRB2"
"TCF7_GRB2","TCF7","GRB2"
"TCF7L2_GRB2","TCF7L2","GRB2"
"KIT_SOS1","KIT","SOS1"
"FLT3_SOS1","FLT3","SOS1"
"PIK3CA_SOS1","PIK3CA","SOS1"
"PIK3CB_SOS1","PIK3CB","SOS1"
"PIK3R1_SOS1","PIK3R1","SOS1"
"P3R3URF.PIK3R3_SOS1","P3R3URF.PIK3R3","SOS1"
"AKT2_SOS1","AKT2","SOS1"
